Department        ,Municipality                          ,Population,size
Boaco             ,Boaco                                 ,58496     ,
Boaco             ,Camoapa                               ,38758     ,
Boaco             ,San José de los Remates               ,8271      ,
Boaco             ,San Lorenzo                           ,50054     ,
Boaco             ,Santa Lucía                           ,8871      ,
Boaco             ,Teustepe                              ,30232     ,
Carazo            ,Diriamba                              ,62631     ,348.8
Carazo            ,Dolores                               ,7822      ,2.6
Carazo            ,El Rosario                            ,6676      ,14
Carazo            ,Jinotepe                              ,52375     ,280.5
Carazo            ,La Conquista                          ,3777      ,88
Carazo            ,La Paz de Carazo                      ,5355      ,15.5
Carazo            ,San Marcos                            ,31652     ,118
Carazo            ,Santa Teresa                          ,17942     ,213.3
Chinandega        ,Chinandega                            ,          ,
Chinandega        ,Chichigalpa                           ,          ,
Chinandega        ,Corinto                               ,          ,
Chinandega        ,El Viejo                              ,          ,
Chinandega        ,El Realejo                            ,          ,
Chinandega        ,Posoltega                             ,          ,
Chinandega        ,Puerto Morazán                        ,          ,
Chinandega        ,San Francisco del Norte               ,          ,
Chinandega        ,San Juan de Cinco Pinos               ,          ,
Chinandega        ,San Pedro del Norte                   ,          ,
Chinandega        ,Santo Tomás del Norte                 ,          ,
Chinandega        ,Somotillo                             ,          ,
Chinandega        ,Villanueva                            ,          ,
Chontales         ,Acoyapa                               ,          ,
Chontales         ,Comalapa                              ,          ,
Chontales         ,El Coral                              ,          ,
Chontales         ,Juigalpa                              ,          ,
Chontales         ,La Libertad                           ,          ,
Chontales         ,San Francisco de Cuapa                ,          ,
Chontales         ,San Pedro de Lóvago                   ,          ,
Chontales         ,Santo Domingo                         ,          ,
Chontales         ,Santo Tomás                           ,          ,
Chontales         ,Villa Sandino                         ,          ,
Chontales         ,San Francisco de Cuapa                ,          ,
Estelí            ,Condega                               ,          ,
Estelí            ,Estelí                                ,          ,
Estelí            ,La Trinidad                           ,          ,
Estelí            ,Pueblo Nuevo                          ,          ,
Estelí            ,San Juan de Limay                     ,          ,
Estelí            ,San Nicolás                           ,          ,
Granada           ,Diriá                                 ,          ,
Granada           ,Diriomo                               ,          ,
Granada           ,Granada                               ,          ,
Granada           ,Nandaime                              ,          ,
Jinotega          ,Jinotega                              ,          ,
Jinotega          ,San Rafael del Norte                  ,          ,
Jinotega          ,la Concordia                          ,          ,
Jinotega          ,San Sebastián de Yalí                 ,          ,
Jinotega          ,Santa María de Pantasma               ,          ,
Jinotega          ,Wiwilí de Jinotega                    ,          ,
Jinotega          ,El Cuá                                ,          ,
Jinotega          ,San José de Bocay                     ,          ,
León              ,Achuapa                               ,          ,
León              ,El Jicaral                            ,          ,
León              ,El Sauce                              ,          ,
León              ,La Paz Centro                         ,          ,
León              ,Larreynaga                            ,          ,
León              ,León                                  ,          ,
León              ,Nagarote                              ,          ,
León              ,Santa Rosa del Peñón                  ,          ,
León              ,Quezalguaque                          ,          ,
León              ,Telica                                ,          ,
Madriz            ,Las Sabanas                           ,          ,
Madriz            ,Palacagüina                           ,          ,
Madriz            ,San José de Cusmapa                   ,          ,
Madriz            ,San Juan de Río Coco                  ,          ,
Madriz            ,San Lucas                             ,          ,
Madriz            ,Somoto                                ,          ,
Madriz            ,Telpaneca                             ,          ,
Madriz            ,Totogalpa                             ,          ,
Madriz            ,Yalagüina                             ,          ,
Managua           ,Ciudad Sandino                        ,          ,
Managua           ,El Crucero                            ,          ,
Managua           ,Managua                               ,          ,
Managua           ,Mateare                               ,          ,
Managua           ,San Francisco Libre                   ,          ,
Managua           ,San Rafael del Sur                    ,          ,
Managua           ,Ticuantepe                            ,          ,
Managua           ,Tipitapa                              ,          ,
Managua           ,Villa El Carmen                       ,          ,
Masaya            ,Catarina                              ,          ,
Masaya            ,La Concepción                         ,          ,
Masaya            ,Masatepe                              ,          ,
Masaya            ,Masaya                                ,          ,
Masaya            ,Nandasmo                              ,          ,
Masaya            ,Nindirí                               ,          ,
Masaya            ,Niquinohomo                           ,          ,
Masaya            ,San Juan de Oriente                   ,          ,
Masaya            ,Tisma                                 ,          ,
Matagalpa         ,Ciudad Darío                          ,          ,
Matagalpa         ,El Tuma - La Dalia                    ,          ,
Matagalpa         ,Esquipulas                            ,          ,
Matagalpa         ,Matagalpa                             ,          ,
Matagalpa         ,Matiguás                              ,          ,
Matagalpa         ,Muy Muy                               ,          ,
Matagalpa         ,Rancho Grande                         ,          ,
Matagalpa         ,Río Blanco                            ,          ,
Matagalpa         ,San Dionisio                          ,          ,
Matagalpa         ,San Isidro                            ,          ,
Matagalpa         ,San Ramón                             ,          ,
Matagalpa         ,Sébaco                                ,          ,
Matagalpa         ,Terrabona                             ,          ,
Matagalpa         ,Waslala                               ,          ,
Nueva Segovia     ,Ciudad Antigua                        ,          ,
Nueva Segovia     ,Dipilto                               ,          ,
Nueva Segovia     ,El Jícaro                             ,          ,
Nueva Segovia     ,Güigüilí                              ,          ,
Nueva Segovia     ,Jalapa (Nicaragua)                    ,          ,
Nueva Segovia     ,Macuelizo (Nicaragua)                 ,          ,
Nueva Segovia     ,Mozonte                               ,          ,
Nueva Segovia     ,Murra                                 ,          ,
Nueva Segovia     ,Ocotal                                ,          ,
Nueva Segovia     ,Quilalí                               ,          ,
Nueva Segovia     ,San Fernando                          ,          ,
Nueva Segovia     ,Santa María                           ,          ,
Rivas             ,Altagracia-Ometepe                    ,          ,
Rivas             ,Belén                                 ,          ,
Rivas             ,Buenos Aires                          ,          ,
Rivas             ,Cárdenas                              ,          ,
Rivas             ,Moyogalpa-Ometepe                     ,          ,
Rivas             ,Potosí                                ,          ,
Rivas             ,Rivas                                 ,          ,
Rivas             ,San Jorge                             ,          ,
Rivas             ,San Juan del Sur                      ,          ,
Rivas             ,Tola                                  ,          ,
Río San Juan      ,El Almendro                           ,          ,
Río San Juan      ,El Castillo                           ,          ,
Río San Juan      ,Morrito                               ,          ,
Río San Juan      ,San Carlos                            ,          ,
Río San Juan      ,San Juan del Norte                    ,          ,
Río San Juan      ,San Miguelito                         ,          ,
Costa Caribe Norte,Bonanza                               ,          ,
Costa Caribe Norte,Mulukukú                              ,          ,
Costa Caribe Norte,Prinzapolka                           ,          ,
Costa Caribe Norte,Puerto Cabezas                        ,          ,
Costa Caribe Norte,Rosita                                ,          ,
Costa Caribe Norte,Siuna                                 ,          ,
Costa Caribe Norte,Waslala                               ,          ,
Costa Caribe Norte,Waspán                                ,          ,
Costa Caribe Sur  ,Bluefields                            ,          ,
Costa Caribe Sur  ,Desembocadura de la Cruz de Río Grande,          ,
Costa Caribe Sur  ,El Ayote                              ,          ,
Costa Caribe Sur  ,El Rama                               ,          ,
Costa Caribe Sur  ,El Tortuguero                         ,          ,
Costa Caribe Sur  ,Islas del Maíz (Corn Island)          ,          ,
Costa Caribe Sur  ,Kukra Hill                            ,          ,
Costa Caribe Sur  ,La Cruz de Río Grande                 ,          ,
Costa Caribe Sur  ,Laguna de Perlas (Pearl Lagoon)       ,          ,
Costa Caribe Sur  ,Muelle de los Bueyes                  ,          ,
Costa Caribe Sur  ,Nueva Guinea                          ,          ,
Costa Caribe Sur  ,Paiwas                                ,          ,
